Chassis|Model|MUL ID|Combined|Clan|Source|File Location|Weight|Intro Date|Experimental year|Advanced year|Standard year|Extinct Year|Unit Type|Role|BV|Cost|Rules|Engine Name|Internal Structure|Myomer|Cockpit Type|Gyro Type|Armor Types|Equipment|Manufacturer|Factory|Targeting|Comms|Armor|JJ|Engine|Chassis|Capabilities|Overview|History|Deployment|Notes
Achileus Light Battle Armor|[David](Sqd4)|7|Achileus Light Battle Armor [David](Sqd4)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 4) [David].blk|4.0|3064||3064|3065|-|Battlearmor|Ambusher|189|2010320|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,BADavidLightGaussRifle,BAAPMount,InfantryAssaultRifle,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[Flamer](Sqd4)|8|Achileus Light Battle Armor [Flamer](Sqd4)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 4) [Flamer].blk|4.0|3057||3057|3059|-|Battlearmor|Ambusher|173|1950320|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,CLBAFlamer,BAAPMount,InfantryAssaultRifle,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[Laser](Sqd4)|9|Achileus Light Battle Armor [Laser](Sqd4)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 4) [Laser].blk|4.0|3057||3057|3059|-|Battlearmor|Ambusher|205|1965320|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,ISBASmallLaser,BAAPMount,BABasicManipulator,InfantryAssaultRifle|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[MG](Sqd4)|10|Achileus Light Battle Armor [MG](Sqd4)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 4) [MG].blk|4.0|3057||3057|3059|-|Battlearmor|Ambusher|173|1940320|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,CLBAMG,BAAPMount,InfantryAssaultRifle,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[TAG](Sqd4)|11|Achileus Light Battle Armor [TAG](Sqd4)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 4) [TAG].blk|4.0|3059|||3059|-|Battlearmor|Ambusher|133|2080320|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,CLBALightTAG,BAAPMount,InfantryAssaultRifle,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|(WoB)(Sqd4)|6|Achileus Light Battle Armor (WoB)(Sqd4)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 4) [WoB].blk|4.0|3064|||3064|-|Battlearmor|Scout|150|2260320|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,BAAPMount,InfantryAssaultRifle,ISImprovedSensors,IS BA ECM,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[David](Sqd5)|8473|Achileus Light Battle Armor [David](Sqd5)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 5) [David].blk|5.0|3064||3064|3065|-|Battlearmor|Ambusher|255|2512900|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,BADavidLightGaussRifle,BAAPMount,InfantryAssaultRifle,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[Flamer](Sqd5)|8474|Achileus Light Battle Armor [Flamer](Sqd5)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 5) [Flamer].blk|5.0|3057||3057|3059|-|Battlearmor|Ambusher|233|2437900|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,CLBAFlamer,BAAPMount,InfantryAssaultRifle,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[Laser](Sqd5)|8475|Achileus Light Battle Armor [Laser](Sqd5)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 5) [Laser].blk|5.0|3057||3057|3059|-|Battlearmor|Ambusher|276|2456650|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,ISBASmallLaser,BAAPMount,BABasicManipulator,InfantryAssaultRifle|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[MG](Sqd5)|8476|Achileus Light Battle Armor [MG](Sqd5)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 5) [MG].blk|5.0|3057||3057|3059|-|Battlearmor|Ambusher|233|2425400|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,CLBAMG,BAAPMount,InfantryAssaultRifle,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
