feature,min,max
0,0.0,3.0
1,0.0,1.7
2,-1.0,1.0
3,0.48,1.0
4,0.0,1.0
5,0.0,58.52349955359813
6,0.0,64.0
7,0.0,1.0
8,0.0,1.0
9,0.0,12.0
10,0.0,17.0
11,0.0,1.0
12,-1.0,293.0
13,-0.16666666666666666,48.833333333333336
14,-0.16666666666666666,48.833333333333336
15,-0.1,0.1
16,0.0,84.0
17,0.3333333333333333,1.0
18,0.0,1.0
19,0.0,800.7000000000048
20,0.0,27.0
21,0.0,0.8625
22,0.0,1.0
23,0.0,0.99
24,0.0,1.0
25,0.36,0.76
26,0.0,6.0
27,0.0,1.0
28,0.0,73.40980860893181
29,0.0,1.0
30,0.0,1.0
31,-7.5103256576259945,17.2
32,0.0,0.7272727272727273
33,0.0,2.5298129391644855
34,0.0,1.516082016182458
35,0.0,0.8571428571428571
36,0.0,0.711111111111111
37,0.0,1.0
38,0.0,0.9176470588235294
39,0.0,1.0
40,0.42293749999999997,0.6427499999999999
41,0.0,459.0
42,0.0,1.0
43,0.0,46.87216658103186
44,0.0,27.0
45,-1.0,25.0
46,-1.0,97.0
47,0.0,1.0
48,0.0,1.0
49,0.0,1.0
50,0.0,1.0
51,0.0,1.0
52,0.0,1.0
53,0.0,1.0
54,0.0,1.0
