# Provides backward compatibility for any changes to the unit name.
# If a name is changed, an entry should be made here so that it can still
# be found by a previous name that may appear in a MUL file or a MekHQ
# campaign file. Each entry should be on a separate line and have the
# format "oldname|currentname"

#Aerospace
Persepolis 2 (Standard)|Persepolis 2

#Dropships
Behemoth (Standard)|Behemoth (2658)
Broadsword (Standard)|Broadsword (2979)
Buccaneer (Standard)|Buccaneer (2708)
Cargoking (Standard)|Cargo King (2790)
Cargomaster (Standard)|Cargomaster (2790)
Carrier (Standard)|Carrier (2882)
Claymore (Standard)|Claymore (3054)
Confederate (2703)|Confederate (2602)
Confederate (Clan)|Confederate C (3048)
DroST Light Bulk Transport IIA|DroST IIa Transport (2470)
Excalibur (Pocket Warship)|Excalibur 'Pocket Warship'
Hamilcar (Standard)|Hamilcar (3054)
Hannibal (Standard)|Hannibal (3055)
Hercules (Standard)|Hercules (3053)
Interdictor Pocket Warship (Anti-Ship)|Interdictor Pocket Warship (Sub-Capital)
Kuan Ti (Standard)|Kuan Ti (3055)
Lion (Clan)|Lion (2835)
Lion (Wolf's Dragoons 3052)|Lion (3052) (WD)
Lung Wang (Standard)|Lung Wang (3055)
M3 Drone|M3 Drone CASPAR
Mammoth (Standard)|Mammoth (2658)
Miraborg (Standard)|Miraborg (3053)
Model 97 'Octopus' (Standard)|Model 97 'Octopus' (3051)
Monarch (Standard)|Monarch (2759)
Mule (Pocket Warship)|Mule 'Pocket Warship'
Mule (Standard)|Mule (2737)
Nagumo (Standard)|Nagumo (3056)
Noruff (Standard)|Noruff (3056)
Okinawa (Standard)|Okinawa (3055)
Overlord C|Overlord C (2818)
Rose (Bara no Ryu) (Hive)|Rose (Bara no Ryu) (Hive)
Rose (Bara no Ryu) (Standard)|Rose (Bara no Ryu) (3054)
Sassanid (Standard)|Sassanid (2875)
Titan (Clan)|Titan (2953)
Union C|Union C (2829)
Vampire II|Vampire II (Standard)
Vengeance Danai Centrella|Vengeance (Danai Centrella)
Vulture (Standard)|Vulture (2312)

#Jumpships
Comitatus JumpShip (Standard)|Comitatus JumpShip (2995)
Hunter Jumpship (Standard)|Hunter Jumpship (2832)
Odyssey Jumpship (Standard)|Odyssey Jumpship (2887)
Chimeisho JumpShip (Standard)|Chimeisho JumpShip (3056)
Invader Jumpship (PPC)|Invader Jumpship (2631 PPC)
Invader Jumpship (Clan)[PPC]|Invader Jumpship (2850)
Invader Jumpship (Standard)|Invader Jumpship (2631)
Invader Jumpship (Clan)|Invader Jumpship (2631)
Magellan Jumpship (Standard)|Magellan Jumpship (2960)
Merchant Jumpship (Standard)|Merchant Jumpship (2503)
Monolith Jumpship (Standard)|Monolith Jumpship (2776)
Monolith Jumpship (Clan)|Monolith Jumpship (2839)
Scout JumpShip (Standard)|Scout JumpShip (2712)
Star Lord JumpShip (Standard)|Star Lord JumpShip (2590)
Tramp JumpShip (Standard)|Tramp JumpShip (2754)
Tramp JumpShip (Lithium-Fusion)|Tramp JumpShip (3071)

#Mechs
Jagermech JM6-DG|JagerMech JM6-DG

#Space Stations
Bastion System Defense Station (Standard)|Bastion System Defense Station (2584)
BattleSat System Defense Station (Standard|BattleSat System Defense Station (3056)
Capitol System Defense Station (Standard)|Capitol System Defense Station (3051)
Large Habitat (Standard)|Habitat - Large (2500)
Large Pressurized Yard (Standard)|Pressurized Yard - Large (2400)
Large Pressurized Yard (Standard)|Unpressurized Yard - Large (2300)
M9 Pavise SDS Battle Station|M9 SDS Battle Station 'Pavise'
Medium-Large Factory (Standard)|Factory - Medium/Large (2400)
Olympus Recharge Station (Standard)|Olympus Recharge Station (2663)
Small Factory (Standard)|Factory - Small (2300)
Small Habitat (Standard)|Habitat - Small (2400)
Small Pressurized Yard (Standard)|Pressurized Yard - Small (2200)
Small Unpressurized Yard (Standard)|Unpressurized Yard - Small (2100)
Snowden Mining Station Mk I|Snowden Mining Station (MK I)


#Tanks
Nuberu Anti Aircraft Tank 2 'Numantia'|Nuberu Anti Aircraft Tank 2 'Numantia'
SturmFeur "Kalki" Cruise Missile Launcher (Standard)|SturmFeur 'Kalki' Cruise Missile Launcher (Standard)

#Warships
Aegis Heavy Cruiser (Clan)|Aegis Heavy Cruiser (2843)
Athena Cruiser (Standard)|Athena Cruiser (2569)
Atreus Battleship (Standard)|Atreus Battleship (2552)
Avatar Heavy Cruiser (Standard)|Avatar Heavy Cruiser (2531)
Baron Destroyer (Standard)|Baron Destroyer (2520)
