Callsign,Weight
Aardvark,1
Aardwolf,1
Abductor,1
Able,1
Abnormal,1
Abomination,1
Abraxas,1
Abs,1
Abscess,1
Absence,1
Absolute Zero,1
Abyss,1
Academic,1
Accountant,1
Ace,1
Achilles,1
Acid,1
Acme,1
Acne,1
Acorn,1
Acrobat,1
Active,1
Actuator,1
Adagio,1
Adarna,1
Adder,1
Admiral,1
Adonis,1
Aegis,1
Aeneas,1
Aerial,1
Aerie,1
Aero,1
Aether,1
Aethon,1
Afro,1
Afterburner,1
Aftermath,1
Aftershock,1
Agate,1
Agent,1
Agile,1
Agony,1
Agrat,1
Ahab,1
Ahuizotl,1
Aikido,1
Aimless,1
Air Raid,1
Airborne,1
Airburst,1
Airfang,1
Airfoil,1
Airhorn,1
Airlift,1
Airtight,1
Airwave,1
Ajax,1
Albatross,1
Albion,1
Alchemist,1
Alchemy,1
Alexander,1
Algorithm,1
Alias,1
Alien,1
All Thumbs,1
Allegiance,1
Alleycat,1
Alloy,1
Alpha Strike,1
Alpha,1
Alphabet Soup,1
Alphabet,1
Alpine,1
Altar,1
Alter,1
Amarok,1
Amaterasu,1
Amazon,1
Amazonian,1
Ambassador,1
Amber,1
Amberglow,1
Ambrosia,1
Ambush,1
Ame-no-Ohabari,1
Amethyst,1
Ammo,1
Ammut,1
Amore,1
Amphibian,1
Amphitrite,1
Amulet,1
Anansi,1
Anastasia,1
Anchor Shot,1
Anchor,1
Android,1
Andromeda,1
Anemone,1
Angel,1
Anger,1
Angry,1
Angst,1
Angus,1
Animal,1
Ankh,1
Antares,1
Anteater,1
Anthem,1
Antidote,1
Antler,1
Antsy,1
Anubis,1
Anvil,1
Apache,1
Ape,1
Apex Jackal,1
Apex,1
Aphelion,1
Aphrodite,1
Apocalypse,1
Apollo,1
Apparition,1
Apple Pie,1
Apple,1
Applejack,1
Applesauce,1
Apricot,1
April,1
Aqua,1
Aquamarine,1
Arachne,1
Arbalest,1
Arcade,1
Arcadia,1
Arcana,1
Arcane,1
Arcanum,1
Archer,1
Archimedes,1
Architect,1
Archive,1
Arclight,1
Arctic,1
Arcturus,1
Ardent,1
Ares,1
Argo,1
Argonaut,1
Argus,1
Aria,1
Ariel,1
Aristocrat,1
Aristotle,1
Ark,1
Arknight,1
Armada,1
Armadillo,1
Armature,1
Armbar,1
Armor Bear,1
Armor,1
Armory,1
Arms,1
Army,1
Array,1
Arrow,1
Arsenal,1
Arson,1
Artemis,1
Artifact,1
Ascent,1
Ascot,1
Asgard,1
Ash,1
Ashen,1
Ashfall,1
Ashtray,1
Asi,1
Aspen,1
Asphalt,1
Assassin,1
Assault,1
Asteroid,1
Astral,1
Astro,1
Aswang,1
Atalanta,1
Athena,1
Athens,1
Atlantis,1
Atlas,1
Atom,1
Atomic,1
Attila,1
Auger,1
Augur,1
Auntie,1
Aura,1
Aurora,1
Austin,1
Auto,1
Autocannon,1
Autumn,1
Avalanche,1
Avalon,1
Avast,1
Avenger,1
Avenging Angel,1
Aviator,1
Avril,1
Awakening,1
AWOL,1
Axe,1
Axekick,1
Axel,1
Axeman,1
Axiom,1
Axle,1
Axon,1
Azeban,1
Azrael,1
Azure,1
B-Boy,1
Babe,1
Babs,1
Bacchus,1
Backdraft,1
Backfire,1
Backfist,1
Backflip,1
Backlash,1
Backspin,1
Backstab,1
Backstage,1
Backstop,1
Backstreet,1
Backtrack,1
Bacon,1
Baconator,1
Badger,1
Bae,1
Bagel,1
Bagman,1
Bagpipe,1
Bailiff,1
Bailout,1
Baja,1
Balance,1
Balancer,1
Baldy,1
Balisong,1
Ballad,1
Ballast,1
Ballerina,1
Ballistic,1
Bam Bam,1
Bambi,1
