Ethnic Code,Name,Weight
1,Aaron,2
1,Abbey,4
1,Abbie,8
1,Abby,16
1,Abigail,25
1,Ada,57
1,Adah,1
1,Adaline,2
1,Adam,1
1,Addie,26
1,Adela,14
1,Adelaida,4
1,Adelaide,8
1,Adele,25
1,Adelia,3
1,Adelina,7
1,Adeline,18
1,Adell,5
1,Adella,3
1,Adelle,3
1,Adena,1
1,Adina,3
1,Adria,3
1,Adrian,9
1,Adriana,25
1,Adriane,4
1,Adrianna,4
1,Adrianne,7
1,Adrien,1
1,Adriene,2
1,Adrienne,39
1,Afton,3
1,Agatha,7
1,Agnes,98
1,Agnus,1
1,Agripina,1
1,Agueda,1
1,Agustina,3
1,Ai,1
1,Aida,23
1,Aide,1
1,Aiko,1
1,Aileen,16
1,Ailene,1
1,Aimee,27
1,Aisha,9
1,Aja,3
1,Akiko,2
1,Akilah,1
1,Alaina,5
1,Alaine,1
1,Alana,12
1,Alane,1
1,Alanna,4
1,Alayna,1
1,Alba,9
1,Albert,1
1,Alberta,52
1,Albertha,3
1,Albertina,2
1,Albertine,3
1,Albina,4
1,Alda,4
1,Alease,1
1,Alecia,7
1,Aleen,1
1,Aleida,2
1,Aleisha,1
1,Alejandra,12
1,Alejandrina,2
1,Alena,3
1,Alene,7
1,Alesha,4
1,Aleshia,1
1,Alesia,4
1,Alessandra,1
1,Aleta,4
1,Aletha,6
1,Alethea,3
1,Alethia,2
1,Alex,2
1,Alexa,6
1,Alexander,2
1,Alexandra,39
1,Alexandria,14
1,Alexia,3
1,Alexis,30
1,Alfreda,9
1,Alfredia,1
1,Ali,2
1,Alia,2
1,Alica,2
1,Alice,357
1,Alicia,146
1,Alida,3
1,Alina,6
1,Aline,11
1,Alisa,20
1,Alise,2
1,Alisha,27
1,Alishia,2
1,Alisia,2
1,Alison,50
1,Alissa,11
1,Alita,1
1,Alix,2
1,Aliza,2
1,Alla,2
1,Alleen,1
1,Allegra,2
1,Allen,2
1,Allena,1
1,Allene,8
1,Allie,13
1,Alline,2
1,Allison,92
1,Allyn,1
1,Allyson,13
1,Alma,111
1,Almeda,3
1,Almeta,2
1,Alona,1
1,Alpha,5
1,Alta,19
1,Altagracia,4
1,Altha,2
1,Althea,12
1,Alva,6
1,Alvera,2
1,Alverta,1
1,Alvina,6
1,Alyce,10
1,Alycia,3
1,Alysa,1
1,Alyse,2
1,Alysha,2
1,Alysia,3
1,Alyson,9
1,Alyssa,31
1,Amada,3
1,Amal,1
1,Amalia,10
1,Amanda,404
1,Amber,160
1,Amberly,1
