Ethnic Code,Name,Weight
1,A.C.,50
1,A.J.,50
1,A.R.,50
1,Aaron,2200
1,Abbott,1
1,Abe,5
1,Abel,200
1,Abraham,250
1,Abram,1
1,Ace,5
1,Adam,2100
1,Adan,1
1,Addison,1
1,Adel,1
1,Aden,1
1,Adin,1
1,Adlai,1
1,Adler,1
1,Adley,1
1,Adney,1
1,Adolfo,1
1,Adolph,1
1,Adonis,1
1,Adrian,800
1,Adriel,1
1,Agustin,1
1,Aidan,1
1,Aiken,1
1,Ailen,1
1,Ainsley,1
1,Al,1500
1,Alair,1
1,Alan,1300
1,Aland,1
1,Alastair,1
1,Alber,1
1,Albern,1
1,Albert,1600
1,Albin,1
1,Alcott,1
1,Alden,200
1,Aldo,1
1,Aldred,1
1,Aldrich,1
1,Aldridge,1
1,Alec,200
1,Alessandro,1
1,Alex,2550
1,Alexander,350
1,Alexas,1
1,Alexis,200
1,Alfred,400
1,Alger,1
1,Ali,1
1,Alison,1
1,Alistair,1
1,Alister,1
1,Allan,400
1,Allard,1
1,Allen,2150
1,Allister,1
1,Alonso,5
1,Alphonse,5
1,Alphonso,5
1,Alston,1
1,Altman,1
1,Alton,1
1,Alvin,450
1,Ambrose,200
1,Amery,1
1,Amit,1
1,Amory,1
1,Amos,5
1,Ancel,1
1,Anders,1
1,Anderson,200
1,Andre,400
1,Andreas,50
1,Andrew,3050
1,Andy,2200
1,Angelo,1
1,Angus,1
1,Anibal,1
1,Aniston,1
1,Ansel,1
1,Ansley,1
1,Anson,1
1,Anthony,2850
1,Antoine,1
1,Anton,1
1,Antone,1
1,Antoni,1
1,Antonio,1
1,Antony,1
1,Apollo,1
1,Archer,1
1,Archibald,1
1,Archie,400
1,Arden,1
1,Ares,1
1,Ari,1
1,Aristotle,1
1,Arizona,1
1,Arland,1
1,Arlen,200
1,Arley,1
1,Arlie,1
1,Arlo,1
1,Armand,1
1,Armande,1
1,Armando,1
1,Armen,1
1,Armon,1
1,Armstrong,1
1,Arne,1
1,Arnett,1
1,Arnie,400
1,Arnold,800
1,Aron,1
1,Arron,1
1,Arsen,1
1,Arsenio,1
1,Art,450
1,Arther,1
1,Arthur,1850
1,Artie,2000
1,Artrell,1
1,Arvin,1
1,Arwin,1
1,Ash,200
1,Ashby,1
1,Asher,1
1,Ashford,1
1,Ashley,1
1,Ashton,200
1,Aston,1
1,Atley,1
1,Atman,1
1,Aubrey,300
1,Auggie,1
1,Augie,1
1,August,1
1,Augustine,1
1,Augustus,1
1,Aurelio,1
1,Austen,1
1,Austin,500
1,Avery,250
1,Axel,1
1,B.B.,1
1,B.D.,1
1,B.J.,200
1,Bailey,250
1,Baird,1
1,Bairn,1
1,Baker,1
1,Baldwin,1
1,Ballard,1
1,Bancroft,1
1,Barber,1
1,Barclay,1
1,Barlow,1
1,Barnard,1
1,Barnardo,1
1,Barnet,1
1,Barnett,1
1,Barney,350
1,Barnum,1
1,Barny,1
1,Baron,1
1,Barret,1
1,Barrett,250
1,Barrie,1
1,Barron,1
1,Barry,950
1,Bart,250
1,Bartholomew,1
1,Barton,200
1,Basil,1
1,Bassanio,1
1,Bassett,1
1,Bastian,1
1,Bastien,1
1,Bates,1
1,Baxter,1
1,Bayley,1
1,Beardsley,1
1,Beau,200
1,Beaumont,1
1,Beauregard,1
1,Beck,1
1,Bela,1
1,Bellamy,1
1,Ben,4050
1,Benedict,200
1,Benito,1
1,Benjamin,250
1,Benjie,1
1,Benjy,1
1,Bennet,1
1,Bennett,200
1,Bennie,250
1,Benny,300
1,Benoit,1
1,Benson,1
1,Bentley,1
1,Benton,200
1,Berenger,1
1,Berg,1
1,Bergen,1
1,Berk,1
1,Berke,1
1,Berkeley,1
1,Berkly,1
1,Bernard,450
1,Bernardo,1
1,Bernie,200
1,Berny,1
1,Berry,1
1,Bert,200
1,Bertie,1
1,Bertram,1
1,Bevan,1
1,Bevis,1
1,Bevon,1
1,Biff,1
1,Bill,11100
1,Billie,1
1,Billy,1750
1,Bing,1
1,Bip,1
1,Bishop,1
1,Blade,1
1,Blain,1
1,Blaine,200
1,Blair,300
1,Blaise,1
1,Blake,400
1,Blakeley,1
1,Blayke,1
1,Blayne,1
1,Blythe,1
1,Bo,300
1,Bob,10450
1,Bobbie,1
1,Bobby,2600
1,Bogart,1
1,Bolton,1
1,Bond,1
1,Bonner,1
1,Boof,1
1,Booker,1
1,Boone,1
1,Booth,1
1,Boris,1
1,Bosco,1
1,Bosley,1
1,Boston,1
1,Boswell,1
1,Bosworth,1
1,Bourke,1
1,Bowen,1
1,Bowie,1
1,Bowman,1
1,Boyd,250
1,Boyden,1
1,Brad,2000
1,Braden,1
1,Bradford,1
1,Bradley,300
1,Bradly,1
1,Bradon,1
1,Bradwell,1
1,Brady,350
1,Bram,1
1,Bramwell,1
1,Bran,1
1,Branch,1
1,Brand,1
1,Branden,1
1,Brandon,1800
1,Brandt,1
1,Brandyn,1
1,Branson,1
1,Brant,250
1,Brantley,1
1,Brantt,1
1,Bray,1
1,Brayden,1
1,Braydon,1
1,Brendan,400
1,Brenden,1
1,Brendon,250
1,Brennan,200
1,Brent,1000
1,Brenton,200
1,Brentt,1
1,Bret,250
1,Brett,550
1,Brewster,1
1,Brian,5800
1,Brice,1
1,Brigham,1
1,Brighton,1
1,Brindan,1
1,Brinley,1
1,Brit,250
1,Britt,300
1,Brock,250
1,Broderick,200
1,Brodie,1
1,Brody,200
1,Bronson,1
1,Brook,1
1,Brooke,1
1,Brooks,250
1,Brown,1
1,Bruce,1900
1,Bruno,200
1,Brutus,1
1,Bryan,2350
1,Bryant,300
1,Bryce,400
1,Bryn,1
1,Bryon,1
1,Bryson,1
1,Bubba,250
1,Buck,200
1,Buckley,1
1,Bucky,1
1,Bud,200
1,Budd,1
1,Buddie,1
1,Buddy,300
1,Buford,1
1,Burgess,1
1,Burke,1
1,Burl,1
1,Burle,1
1,Burne,1
1,Burnell,1
1,Burt,300
1,Burton,200
1,Buster,1
1,Butch,250
1,Butler,1
1,Byron,200
1,C.C.,1
1,C.J.,1
1,Cade,200
1,Caden,200
1,Caesar,1
1,Cain,1
1,Caine,1
1,Cal,650
1,Caldwell,1
1,Cale,200
1,Caleb,350
1,Caley,1
1,Calvin,500
1,Cam,350
1,Cameron,350
1,Camm,1
1,Cammy,1
1,Campbell,1
1,Cane,1
1,Cannon,1
1,Carey,1
1,Carl,3300
1,Carleton,1
1,Carlin,1
1,Carlisle,1
1,Carlo,1
1,Carlos,300
1,Carlton,400
1,Carlyle,1
1,Carmen,15
1,Carmine,15
1,Carr,1
1,Carrol,1
1,Carroll,200
1,Carson,200
1,Carsten,1
1,Carter,250
1,Carver,1
1,Cary,250
1,Case,1
1,Casee,1
1,Casey,350
1,Cash,1
1,Caspar,1
1,Casper,1
1,Cass,1
1,Cassidy,1
1,Casy,1
1,Cato,1
1,Cecil,600
1,Cedric,300
1,Cedrick,1
1,Cesar,1
1,Chad,1750
1,Chadd,1
1,Chance,350
1,Chandler,200
1,Channing,1
1,Chapman,1
1,Charles,1500
1,Charley,1
1,Charlie,1250
1,Charlton,1
1,Chas,1
1,Chase,250
1,Chaz,1
1,Cheney,1
1,Cherokee,1
1,Chester,350
1,Chet,800
1,Cheyney,1
1,Chip,350
1,Chipp,1
1,Chipper,1
1,Chris,11950
1,Christian,2200
1,Christie,1
1,Christopher,350
1,Christy,1
1,Chuck,700
1,Chuckie,1
1,Chucky,1
1,Clancy,300
1,Clarence,1250
1,Clark,400
1,Clarke,1
1,Claude,350
1,Claus,1
1,Clay,450
1,Clayton,450
1,Clem,1
1,Clemens,1
1,Clement,200
1,Cleve,1
1,Cleveland,1
1,Cliff,950
1,Clifford,250
1,Clifton,250
1,Clint,650
1,Clinton,400
1,Clive,1
1,Clyde,600
1,Coby,1
1,Codi,1
1,Codie,1
1,Cody,550
1,Colbert,1
1,Colby,200
1,Cole,650
1,Coleman,1
1,Colin,450
1,Collin,200
1,Colm,200
1,Colman,1
1,Colt,200
1,Colter,1
1,Coltin,1
1,Colton,200
1,Coltyn,1
1,Compton,1
1,Conan,200
1,Condon,1
1,Conlan,1
1,Conley,1
1,Conn,1
1,Conner,200
1,Connie,1
1,Connley,1
1,Connor,350
1,Conor,1
1,Conrad,200
1,Conrade,1
1,Conroy,1
1,Constantine,1
1,Conway,1
1,Cookie,1
1,Cooper,200
1,Corban,1
1,Corbett,1
1,Corbin,200
1,Corby,1
1,Cordell,200
1,Corey,650
1,Cori,1
1,Corie,1
1,Corin,1
1,Corkie,1
1,Corky,1
1,Cornell,200
1,Correy,1
1,Cort,1
1,Cortney,1
1,Corwin,1
1,Cory,800
1,Cosmo,1
1,Coty,1
1,Court,1
1,Courtland,1
1,Courtnay,1
1,Courtney,1
1,Coy,200
1,Craig,2300
1,Crawford,1
1,Creighton,1
1,Cris,1
1,Cristian,1
1,Cristiano,1
1,Cristo,1
1,Cristopher,1
1,Cromwell,1
1,Crosby,1
1,Cuba,1
1,Cullen,200
1,Culley,200
1,Curran,1
1,Curt,2400
1,Curtis,450
1,Cutler,1
1,Cutter,1
1,Cy,200
1,D.J.,1
1,D.T.,1
1,Dade,1
1,Dakota,1
1,Dale,2100
1,Dallas,200
1,Dalton,200
1,Daly,1
1,Damian,250
1,Damien,1
1,Damion,1
1,Damon,400
1,Dan,8150
1,Dana,300
1,Dane,200
1,Daniel,2950
1,Dannie,1
1,Danny,2250
1,Dante,1
1,Darby,200
1,Darcey,1
1,Darcy,1
1,Darel,1
1,Darell,1
1,Daren,1
1,Darian,1
1,Darien,1
1,Darin,1
1,Darius,1
1,Daron,200
1,Darrel,250
1,Darrell,450
1,Darren,500
1,Darric,1
1,Darrick,1
1,Darrin,1
1,Darron,1
1,Darryl,500
1,Darwin,200
1,Daryl,200
1,Dave,12600
1,Daven,1
1,Davey,200
1,David,7500
1,Davidson,1
1,Davie,1
1,Davin,1
1,Davis,200
1,Davy,1
1,Dawson,200
1,Dax,200
1,Dayle,1
1,Dayton,1
1,Deacon,1
1,Dean,600
1,Deane,1
1,Deann,1
1,Decker,1
1,Declan,1
1,Dedric,1
1,Dedrick,1
1,Dee,1
1,Del,200
1,Delaney,1
1,Delano,1
1,Delbert,1
1,Delino,1
1,Dell,5
1,Delling,1
1,Delmar,1
1,Delmer,1
1,Delmore,1
1,Delroy,1
1,Delton,1
1,Delwin,1
1,Delwyn,1
1,Demarcus,1
1,Demetri,1
1,Demott,1
1,Dempsey,1
1,Dempster,1
1,Denby,1
1,Dene,1
1,Denham,1
1,Denholm,1
1,Denis,250
1,Deniz,1
1,Denley,1
1,Dennet,1
1,Denney,1
1,Dennie,1
1,Dennis,2250
1,Dennison,1
1,Denny,950
1,Denton,1
1,Denver,200
1,Deon,1
1,Derby,1
1,Derek,1300
1,Derick,1
1,Derin,1
1,Derk,1
1,Dermot,1
1,Deron,200
1,Derrek,250
1,Derrell,1
1,Derren,1
1,Derrick,450
1,Derrik,1
1,Derril,1
1,Derrin,1
1,Derron,1
1,Derry,1
1,Derwin,1
1,Derwood,1
1,Des,1
1,Desi,250
1,Desmond,200
1,Dev,1
1,Deverell,1
1,Devi,1
1,Devin,350
1,Devlin,1
1,Devlyn,1
1,Devon,1
1,Dewey,200
1,Dewie,1
1,Dewitt,200
1,Dex,1
1,Dexter,200
1,Diamond,1
1,Dick,200
1,Dickey,1
1,Dickie,1
1,Dickinson,1
1,Dickson,1
1,Dicky,1
1,Diego,1
1,Dilan,1
1,Dillon,200
1,Dimitri,1
1,Dino,1
1,Dion,1
1,Dirk,250
1,Dirke,1
1,Dixon,1
1,Dmitri,1
1,Dolan,1
1,Dolf,1
1,Dolph,1
1,Dom,1
1,Dominic,350
1,Dominick,2
1,Dominique,1
1,Don,3700
1,Donald,2250
1,Donavon,1
1,Donn,1
1,Donnel,1
1,Donnell,1
1,Donnelly,1
1,Donnie,400
1,Donny,1
1,Donovan,350
1,Dookie,1
1,Dooley,1
1,Dorian,200
1,Dorsey,1
1,Dory,1
1,Doug,3400
1,Dougg,1
1,Dougie,1
1,Douglas,300
1,Douglass,1
1,Dover,1
1,Doyle,200
1,Drake,250
1,Drew,300
1,Druce,1
1,Drury,1
1,Duane,750
1,Dud,1
1,Dudley,200
1,Duff,1
1,Duffy,1
1,Duke,1
1,Duky,1
1,Dunbar,1
1,Duncan,400
1,Dunham,1
1,Dunley,1
1,Dunmore,1
1,Dunn,1
1,Dunstan,1
1,Dural,1
1,Durand,1
1,Durant,1
1,Durante,1
1,Durham,1
1,Dustin,750
1,Dusty,500
1,Dutch,1
1,Dwayne,200
1,Dwight,300
1,Dylan,650
1,E.J.,1
1,Earl,1050
1,Earle,1
1,Earnest,250
1,Earvin,1
1,Easton,1
1,Eaton,1
1,Ed,6050
1,Eddie,950
1,Eddy,250
1,Edgar,300
1,Edgardo,1
1,Edge,1
1,Edison,200
1,Edmond,200
1,Edmund,300
1,Edric,1
1,Edward,1950
1,Edwin,500
1,Eirik,1
1,Elan,1
1,Eldon,200
1,Eli,200
1,Elia,1
1,Elias,50
1,Elijah,200
1,Eliot,50
1,Ellard,1
1,Ellary,1
1,Ellerry,1
1,Ellery,1
1,Elliot,200
1,Elliott,400
1,Ellis,200
1,Ellison,1
1,Elmar,1
1,Elmer,450
1,Elmo,1
1,Elroy,200
1,Elston,1
1,Elton,200
