Ethnic Code,Name,Weight
1,Aaron,1
1,Abberley,1
1,Abbey,1
1,Abbinett,1
1,Abbot,1
1,Abbotson,1
1,Abbott,100
1,Abdale,1
1,Abell,1
1,Abercrombie,1
1,Abercromby,1
1,Aberdein,1
1,Abernathy,1
1,Abernethie,1
1,Abernethy,1
1,Ables,1
1,Ablett,1
1,Abley,1
1,Abner,1
1,Abney,1
1,Abraham,1
1,Abrams,50
1,Abrial,1
1,Absher,1
1,Abshire,1
1,Abston,1
1,Acheson,1
1,Achurch,1
1,Acker,1
1,Ackerman,50
1,Ackermann,1
1,Ackley,1
1,Acklin,1
1,Ackworth,1
1,Acord,1
1,Acourt,1
1,Acree,1
1,Acres,1
1,Acton,1
1,Acuff,1
1,Adair,1
1,Adam,1
1,Adams,725
1,Adamson,1
1,Adcock,1
1,Addington,1
1,Addis,1
1,Addison,1
1,Addy,1
1,Adinston,1
1,Adinstone,1
1,Adkins,125
1,Adkinson,1
1,Adkison,1
1,Adkisson,1
1,Adler,1
1,Adrian,1
1,Adshead,1
1,Agan,1
1,Agar,1
1,Agarn,1
1,Agee,1
1,Aggett,1
1,Agnew,1
1,Ahearn,1
1,Ahern,1
1,Aherne,1
1,Ahlers,1
1,Ahner,1
1,Ahrens,1
1,Aiken,1
1,Aikenhead,1
1,Aikens,1
1,Ainsley,1
1,Ainslie,1
1,Ainsworth,1
1,Airey,1
1,Airth,1
1,Airy,1
1,Aisher,1
1,Aitcheson,1
1,Aitchison,1
1,Aitken,1
1,Aitkenhead,1
1,Aitkin,1
1,Akehurst,1
1,Aker,1
1,Akers,50
1,Akins,1
1,Alban,1
1,Albany,1
1,Albaugh,1
1,Albee,1
1,Albermarle,1
1,Albers,1
1,Albert,50
1,Alberts,1
1,Albertson,1
1,Albin,1
1,Albrecht,1
1,Albright,50
1,Albritton,1
1,Alcester,1
1,Alcorn,1
1,Alden,1
1,Alder,1
1,Alderman,1
1,Alderson,1
1,Aldis,1
1,Aldous,1
1,Aldrich,1
1,Aldridge,50
1,Aldworth,1
1,Alexander,350
1,Alexis,1
1,Alford,50
1,Alfred,1
1,Alger,1
1,Aline,1
1,Alington,1
1,Alis,1
1,Alison,1
1,Alistair,1
1,Alister,1
1,Alker,1
1,Allain,1
1,Allaire,1
1,Allan,1
1,Allanson,1
1,Allard,1
1,Allardice,1
1,Allardyce,1
1,Allcorn,1
1,Alleman,1
1,Allen,825
1,Allerdale,1
1,Alley,1
1,Alleyne,1
1,Allgood,1
1,Allingham,1
1,Allington,1
1,Allison,100
1,Allman,1
1,Allmark,1
1,Alloway,1
1,Allred,1
1,Almond,1
1,Alpert,1
1,Alston,50
1,Alsup,1
1,Alter,1
1,Altizer,1
1,Altman,1
1,Altmann,1
1,Alton,1
1,Alty,1
1,Alverson,1
1,Alvey,1
1,Alvis,1
1,Ambler,1
1,Ambrose,1
1,Amery,1
1,Ames,50
1,Amesbury,1
1,Amey,1
1,Amick,1
1,Amies,1
1,Ammerman,1
1,Ammons,1
1,Amphlett,1
1,Amundson,1
1,Anders,1
1,Andersen,50
1,Anderson,1300
1,Anderton,1
1,Andre,1
1,Andresen,1
1,Andrew,1
1,Andrews,225
1,Andrus,1
1,Ange,1
1,Angell,1
1,Angle,1
1,Anglin,1
1,Angrove,1
1,Angsley,1
1,Angus,1
1,Angwin,1
1,Ankers,1
1,Anketell,1
1,Annable,1
1,Annandale,1
1,Anne,1
1,Annesley,1
1,Annett,1
1,Annetts,1
1,Anning,1
1,Annis,1
1,Annlar,1
1,Ansley,1
1,Anslow,1
1,Anson,1
1,Anstey,1
1,Anstruther,1
1,Antell,1
1,Anthony,50
1,Antill,1
1,Antrim,1
1,Anwyl,1
1,Anyan,1
1,Aplin,1
1,Appel,1
1,Apperley,1
1,Apple,1
1,Appleby,1
1,Applegarth,1
1,Applegate,1
1,Appleton,1
1,Applewhite,1
1,Appleyard,1
1,Appling,1
1,Apsley,1
1,Aquitaine,1
1,Arbnuthnot,1
1,Arbogast,1
1,Arbuckle,1
1,Arbuthnot,1
1,Arbuthnott,1
1,Arceneaux,1
1,Arch,1
1,Archer,50
1,Archibald,1
1,Archibold,1
1,Archie,1
1,Ard,1
1,Arden,1
1,Ardern,1
1,Arderne,1
1,Ardis,1
1,Argyll,1
1,Aris,1
1,Arkell,1
1,Arkle,1
1,Arline,1
1,Armand,1
1,Armbruster,1
1,Armentrout,1
1,Armistead,1
1,Armitage,1
1,Armitstead,1
1,Armour,1
1,Arms,1
1,Armstead,1
1,Armstrong,225
1,Arnason,1
1,Arnasson,1
1,Arnatt,1
1,Arndt,1
1,Arneson,1
1,Arnesson,1
1,Arnett,1
1,Arnette,1
1,Arney,1
1,Arnhardt,1
1,Arnheart,1
1,Arnie,1
1,Arnipp,1
1,Arnold,225
1,Arnopp,1
1,Arnot,1
1,Arpad,1
1,Arrington,50
1,Arrol,1
1,Arrowood,1
1,Arscott,1
1,Arsenault,1
1,Arthur,50
1,Arthurton,1
1,Artis,1
1,Artrip,1
1,Arundale,1
1,Arundel,1
1,Arundell,1
1,Arwood,1
1,Asberry,1
1,Asbury,1
1,Ash,50
1,Ashbaugh,1
1,Ashburn,1
1,Ashburnham,1
1,Ashby,1
1,Ashcraft,1
1,Ashcroft,1
1,Ashe,50
1,Asher,1
1,Ashford,1
1,Ashley,75
1,Ashling,1
1,Ashman,1
1,Ashmore,1
1,Ashton,1
1,Ashwell,1
1,Ashwood,1
1,Ashworth,1
1,Askew,1
1,Askey,1
1,Askin,1
1,Askins,1
1,Aspell,1
1,Aspen,1
1,Aspinall,1
1,Aspinwall,1
1,Asquith,1
1,Assheton,1
1,Astall,1
1,Astbury,1
1,Astley,1
1,Aston,1
1,Aswald,1
1,Atcheson,1
1,Atchison,1
1,Atchley,1
1,Atherton,1
1,Athey,1
1,Athlone,1
1,Athol,1
1,Atkin,1
1,Atkins,100
1,Atkinson,75
1,Attaway,1
1,Attenborough,1
1,Atthow,1
1,Attrill,1
1,Attwell,1
1,Atwater,1
1,Atwell,1
1,Atwood,1
1,Aubert,1
1,Aubin,1
1,Aubrey,1
1,Auchinlech,1
1,Auchinleck,1
