Megamek Unit Database
This file can be regenerated with java -jar MegaMek.jar -export filename
Type,SubType,Name,Model,BV,Cost (Loaded), Cost (Unloaded),Year,Techlevel,Tonnage,Tech,Canon,Walk,Run,Jump
BattleArmor,Jump,Aerie PA(L),(Salvage),37,0,0,3067,Clan TW,0.4,IS,Canon,2,2,3
BattleArmor,Jump,Aerie PA(L),,37,0,0,3067,Clan TW,0.4,IS,Canon,2,2,3
BattleArmor,Jump,Afreet Medium Battle Armor,(Hells's Horses),221,0,0,3067,Clan TW,1.0,IS,Canon,1,1,4
BattleArmor,Jump,Afreet Medium Battle Armor,(Jade Falcon),439,0,0,3067,Clan TW,1.0,IS,Canon,1,1,4
BattleArmor,Jump,Afreet Medium Battle Armor,,292,0,0,3067,Clan TW,1.0,IS,Canon,1,1,4
BattleArmor,Leg,Asterion Medium Battle Armor,[MRR],207,0,0,3066,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Asterion Medium Battle Armor,[PPC],179,0,0,3066,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Jump,Asura Medium Battle Armor,(Anti Infantry),347,0,0,3072,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Asura Medium Battle Armor,(SRM),383,0,0,3072,IS TW non-box set,1.0,IS,Canon,1,1,0
BattleArmor,Jump,Asura Medium Battle Armor,,514,0,0,3072,IS TW non-box set,1.0,IS,Canon,1,1,0
BattleArmor,Jump,Clan Medium Battle Armor,(B?r),368,0,0,3074,Clan TW,1.0,IS,Non-Canon,1,1,4
BattleArmor,Jump,Clan Medium Battle Armor,(Volk),337,0,0,3132,Clan TW,1.0,IS,Canon,1,1,4
BattleArmor,Jump,Clan Medium Battle Armor,,325,0,0,3074,Clan TW,1.0,IS,Canon,1,1,4
BattleArmor,Leg,Corona Battle Armor,(SRM),502,0,0,3067,Clan TW,1.5,IS,Canon,2,2,0
BattleArmor,Leg,Corona Battle Armor,,667,0,0,3067,Clan TW,1.5,IS,Canon,2,2,0
BattleArmor,Jump,Djinn Battle Armor,(Stealth),313,0,0,3072,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Djinn Battle Armor,,237,0,0,3072,IS TW non-box set,0.75,IS,Canon,1,1,4
BattleArmor,Leg,Golem Assault Armor,(Fast Assault),494,0,0,3070,Clan TW,2.0,IS,Canon,1,1,3
BattleArmor,Leg,Golem Assault Armor,(Rock),555,0,0,3072,Clan TW,2.0,IS,Non-Canon,1,1,0
BattleArmor,Leg,Golem Assault Armor,(Standard),875,0,0,3067,Clan TW,2.0,IS,Non-Canon,2,2,0
BattleArmor,Leg,Grenadier Battle Armor,(Hunter-Killer) [MagShot],379,0,0,3067,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Grenadier Battle Armor,(Hunter-Killer) [NARC],383,0,0,3067,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Grenadier Battle Armor,[Flamer],312,0,0,3067,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Grenadier Battle Armor,[LRR],336,0,0,3067,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Grenadier Battle Armor,[MagShot],346,0,0,3067,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Grenadier Battle Armor,[SL],326,0,0,3067,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Grenadier Battle Armor,[TAG],295,0,0,3067,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Hauberk Battle Armor,,363,0,0,3075,IS TW non-box set,2.0,IS,Canon,1,1,0
BattleArmor,Leg,Hauberk II Battle Armor,,325,0,0,3075,IS TW non-box set,2.0,IS,Canon,1,1,0
BattleArmor,Jump,Kobold Battle Armor,(CS) [GL/Flamer],194,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,(CS) [GL/TAG],182,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,(CS) [GL],210,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,(CS) [SL/Flamer],319,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,(CS) [SL/TAG],307,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,(CS) [SL],335,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,(GB) [GL/Flamer],153,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,(GB) [GL/TAG],142,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,(GB) [GL],168,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,(GB) [SL/Flamer],250,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,(GB) [SL/TAG],239,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,(GB) [SL],265,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,[GL/Flamer],115,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,[GL/TAG],105,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,[GL],129,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,[SL/Flamer],187,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,[SL/TAG],177,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kobold Battle Armor,[SL],201,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Leg,Nephilim Assault Battle Armor,(Gauss),733,0,0,3072,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Nephilim Assault Battle Armor,(Seeker) [MG],736,0,0,3072,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Nephilim Assault Battle Armor,(Support),628,0,0,3072,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Nephilim Assault Battle Armor,[Plasma],634,0,0,3072,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Jump,Nighthawk PA(L),(SLDF) Mk. XXI,55,0,0,2750,IS TW non-box set,0.4,IS,Canon,1,1,3
BattleArmor,Jump,Nighthawk PA(L),Mk. XXI,95,0,0,2750,IS TW non-box set,0.4,IS,Canon,1,1,3
BattleArmor,Jump,Nighthawk PA(L),Mk. XXII,55,0,0,2750,IS TW non-box set,0.4,IS,Canon,1,1,3
BattleArmor,Leg,Phalanx Battle Armor,(A),292,0,0,3065,IS TW non-box set,1.5,IS,Canon,2,2,0
BattleArmor,Leg,Phalanx Battle Armor,(B),319,0,0,3065,IS advanced,1.5,IS,Canon,2,2,0
BattleArmor,Leg,Phalanx Battle Armor,(C),243,0,0,3070,IS TW non-box set,1.5,IS,Canon,2,2,0
BattleArmor,Leg,Phalanx Battle Armor,(WoB-A),505,0,0,3065,IS TW non-box set,1.5,IS,Canon,2,2,0
BattleArmor,Leg,Phalanx Battle Armor,(WoB-B),522,0,0,3065,IS advanced,1.5,IS,Canon,2,2,0
BattleArmor,Leg,Phalanx Battle Armor,(WoB-C),420,0,0,3070,IS TW non-box set,1.5,IS,Canon,2,2,0
BattleArmor,Jump,Rogue Bear Heavy Battle Armor,,466,0,0,3073,Clan TW,1.5,IS,Canon,1,1,2
BattleArmor,Jump,Se'irim Medium Battle Armor,(Anti Infantry),347,0,0,3072,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Jump,Se'irim Medium Battle Armor,,437,0,0,3072,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Shedu Assault Battle Armor,(Recon),573,0,0,3072,IS TW non-box set,2.0,IS,Canon,3,3,0
BattleArmor,Leg,Shedu Assault Battle Armor,(Support),624,0,0,3072,IS TW non-box set,2.0,IS,Canon,3,3,0
BattleArmor,Leg,Shedu Assault Battle Armor,,651,0,0,3072,IS TW non-box set,2.0,IS,Canon,3,3,0
BattleArmor,Leg,Tengu Heavy Battle Armor,(Support),467,0,0,3072,IS TW non-box set,1.5,IS,Canon,2,2,0
BattleArmor,Leg,Tengu Heavy Battle Armor,,432,0,0,3072,IS TW non-box set,1.5,IS,Canon,2,2,2
BattleArmor,Leg,Theseus Medium Battle Armor,(RL),203,0,0,3066,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Theseus Medium Battle Armor,,207,0,0,3066,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Tornado PA(L),G12,81,0,0,2905,IS TW non-box set,0.4,IS,Canon,1,1,0
BattleArmor,Leg,Tornado PA(L),G13 [David Light Gauss],138,0,0,3070,IS TW non-box set,0.4,IS,Canon,1,1,0
BattleArmor,Leg,Tornado PA(L),G13 [Flamer],119,0,0,3070,IS TW non-box set,0.4,IS,Canon,1,1,0
BattleArmor,Leg,Tornado PA(L),G13 [Grenade Launcher],80,0,0,3070,IS TW non-box set,0.4,IS,Canon,1,1,0
BattleArmor,Leg,Tornado PA(L),G13 [Machine Gun],119,0,0,3070,IS TW non-box set,0.4,IS,Canon,1,1,0
BattleArmor,Leg,Tornado PA(L),G13 [Small Laser],158,0,0,3070,IS TW non-box set,0.4,IS,Canon,1,1,0
BattleArmor,Leg,Tornado PA(L),G14,70,0,0,2905,IS TW non-box set,0.4,IS,Canon,1,1,0
BattleArmor,Leg,Tornado PA(L),P12,81,0,0,2905,IS TW non-box set,0.4,IS,Canon,1,1,0
